股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
002121.SZ,20221125,9.58,9.63,9.26,9.3,9.65,-0.35,-3.6269,380142.04,354573.579
002121.SZ,20221124,9.5,9.92,9.46,9.65,9.55,0.1,1.0471,580550.31,564671.935
002121.SZ,20221123,9.15,9.64,9.01,9.55,9.19,0.36,3.9173,463032.75,434492.005
002121.SZ,20221122,9.51,9.55,9.15,9.19,9.57,-0.38,-3.9707,398415.72,369837.079
002121.SZ,20221121,9.21,9.67,9.21,9.57,9.28,0.29,3.125,394934.53,374836.143
002121.SZ,20221118,9.29,9.46,9.07,9.28,9.35,-0.07,-0.7487,325415.3,302178.666
002121.SZ,20221117,9.46,9.5,9.23,9.35,9.58,-0.23,-2.4008,302793.88,282439.406
002121.SZ,20221116,9.6,10.1,9.54,9.58,9.65,-0.07,-0.7254,396283.58,385879.8
002121.SZ,20221115,9.2,9.71,9.15,9.65,9.26,0.39,4.2117,462836.57,439918.919
002121.SZ,20221114,9.6,9.68,9.2,9.26,9.82,-0.56,-5.7026,554266.93,522245.738
002121.SZ,20221111,10.02,10.3,9.78,9.82,9.8,0.02,0.2041,419895.65,418113.435
002121.SZ,20221110,10.07,10.19,9.74,9.8,10.21,-0.41,-4.0157,452543.64,448718.004
002121.SZ,20221109,9.86,10.37,9.67,10.21,9.83,0.38,3.8657,562214.19,569247.489
002121.SZ,20221108,9.98,10.02,9.58,9.83,9.97,-0.14,-1.4042,500299.19,487054.852
002121.SZ,20221107,10.35,10.4,9.89,9.97,10.44,-0.47,-4.5019,687818.31,693287.303
002121.SZ,20221104,10.2,10.62,10.07,10.44,10.26,0.18,1.7544,583403.93,607799.366
002121.SZ,20221103,9.94,10.5,9.88,10.26,9.99,0.27,2.7027,631641.58,648100.626
002121.SZ,20221102,9.95,10.14,9.61,9.99,10.12,-0.13,-1.2846,598952.09,591564.668
002121.SZ,20221101,9.65,10.31,9.47,10.12,9.45,0.67,7.0899,806099.45,806494.881
002121.SZ,20221031,9.35,9.76,9.3,9.45,9.4,0.05,0.5319,628252.49,599412.976
002121.SZ,20221028,9.93,10.0,9.13,9.4,10.02,-0.62,-6.1876,1177438.12,1114350.37
002121.SZ,20221027,11.22,11.33,9.97,10.02,10.96,-0.94,-8.5766,1480662.86,1570427.99
002121.SZ,20221026,10.23,10.96,10.11,10.96,9.96,1.0,10.0402,1408244.56,1512583.192
002121.SZ,20221025,10.0,10.23,9.8,9.96,10.17,-0.21,-2.0649,562891.48,561811.165
002121.SZ,20221024,10.31,10.66,10.04,10.17,10.4,-0.23,-2.2115,770300.32,791543.359
002121.SZ,20221021,9.94,10.48,9.78,10.4,9.97,0.43,4.3129,786695.03,802195.353
002121.SZ,20221020,10.01,10.47,9.6,9.97,10.19,-0.22,-2.159,909477.09,911150.211
002121.SZ,20221019,9.84,10.68,9.68,10.19,9.84,0.35,3.5569,1465785.56,1497654.224
002121.SZ,20221018,9.1,10.14,9.1,9.84,9.22,0.62,6.7245,1711330.8,1686515.672
002121.SZ,20221017,8.99,9.49,8.81,9.22,9.05,0.17,1.8785,646673.95,595254.182
002121.SZ,20221014,9.05,9.19,8.81,9.05,8.93,0.12,1.3438,744317.48,669474.259
002121.SZ,20221013,8.86,9.29,8.86,8.93,9.0,-0.07,-0.7778,837536.65,759405.858
002121.SZ,20221012,8.59,9.14,8.35,9.0,8.65,0.35,4.0462,875895.08,761009.944
002121.SZ,20221011,8.02,8.77,7.97,8.65,8.01,0.64,7.99,852492.0,724022.93
002121.SZ,20221010,7.88,8.25,7.67,8.01,7.87,0.14,1.7789,550651.64,440857.464
002121.SZ,20220930,7.66,8.21,7.66,7.87,7.72,0.15,1.943,661102.32,529039.92
002121.SZ,20220929,7.75,7.83,7.53,7.72,7.7,0.02,0.2597,321256.42,247627.758
002121.SZ,20220928,8.04,8.13,7.66,7.7,8.04,-0.34,-4.2289,382581.6,298967.393
002121.SZ,20220927,7.75,8.1,7.75,8.04,7.76,0.28,3.6082,421274.35,335480.908
002121.SZ,20220926,7.66,8.06,7.61,7.76,7.73,0.03,0.3881,328402.55,256985.477
002121.SZ,20220923,8.0,8.15,7.62,7.73,8.06,-0.33,-4.0943,383608.48,299263.958
002121.SZ,20220922,7.92,8.36,7.79,8.06,8.0,0.06,0.75,419315.83,339130.433
002121.SZ,20220921,7.89,8.04,7.73,8.0,7.93,0.07,0.8827,340087.31,270359.494
002121.SZ,20220920,7.79,8.06,7.71,7.93,7.74,0.19,2.4548,375603.58,298971.903
002121.SZ,20220919,7.68,7.93,7.55,7.74,7.71,0.03,0.3891,330734.08,255438.576
002121.SZ,20220916,7.84,8.03,7.67,7.71,7.84,-0.13,-1.6582,370115.25,288781.791
002121.SZ,20220915,8.7,8.7,7.84,7.84,8.71,-0.87,-9.9885,921949.58,743590.769
002121.SZ,20220914,8.4,8.76,8.32,8.71,8.54,0.17,1.9906,629601.9,535951.959
002121.SZ,20220913,8.6,8.73,8.18,8.54,8.58,-0.04,-0.4662,586237.01,493197.375
002121.SZ,20220909,8.69,8.73,8.34,8.58,8.65,-0.07,-0.8092,349488.67,296473.928
002121.SZ,20220908,8.85,9.04,8.62,8.65,8.92,-0.27,-3.0269,439930.46,387315.116
002121.SZ,20220907,8.8,9.08,8.76,8.92,8.92,0.0,0.0,660776.5,588584.731
002121.SZ,20220906,8.48,9.05,8.18,8.92,8.35,0.57,6.8263,919946.0,801313.257
002121.SZ,20220905,8.11,8.52,8.04,8.35,8.11,0.24,2.9593,564745.78,470353.96
002121.SZ,20220902,7.87,8.34,7.74,8.11,7.83,0.28,3.576,651507.4,526806.581
002121.SZ,20220901,8.07,8.36,7.83,7.83,8.42,-0.59,-7.0071,992524.48,797161.97
002121.SZ,20220831,8.58,9.16,8.3,8.42,8.33,0.09,1.0804,1462378.03,1290382.001
002121.SZ,20220830,8.97,9.03,8.24,8.33,8.97,-0.64,-7.1349,940106.55,799164.634
002121.SZ,20220829,8.88,9.26,8.7,8.97,9.3,-0.33,-3.5484,698562.0,628704.644
002121.SZ,20220826,9.53,9.93,9.23,9.3,9.23,0.07,0.7584,1000940.63,961020.583
002121.SZ,20220825,9.65,9.95,9.03,9.23,9.68,-0.45,-4.6488,927231.13,880855.284
002121.SZ,20220824,10.11,10.64,9.51,9.68,10.14,-0.46,-4.5365,1503353.87,1513530.66
002121.SZ,20220823,9.18,10.14,9.15,10.14,9.22,0.92,9.9783,688112.99,678928.177
002121.SZ,20220822,9.4,9.5,8.99,9.22,9.21,0.01,0.1086,670400.48,618335.235
002121.SZ,20220819,9.75,9.89,9.2,9.21,9.69,-0.48,-4.9536,854434.41,812788.652
002121.SZ,20220818,9.05,9.91,9.01,9.69,9.1,0.59,6.4835,1129393.12,1087292.378
002121.SZ,20220817,8.96,9.35,8.79,9.1,8.94,0.16,1.7897,903719.21,819274.537
002121.SZ,20220816,8.9,9.22,8.81,8.94,8.91,0.03,0.3367,941428.44,848883.922
002121.SZ,20220815,8.35,8.98,8.28,8.91,8.37,0.54,6.4516,893344.24,779676.566
002121.SZ,20220812,8.59,8.92,8.34,8.37,8.65,-0.28,-3.237,729944.39,626255.327
002121.SZ,20220811,8.81,8.98,8.57,8.65,8.91,-0.26,-2.9181,688173.24,599775.445
002121.SZ,20220810,8.71,9.08,8.61,8.91,8.88,0.03,0.3378,910225.44,801642.359
002121.SZ,20220809,8.51,9.26,8.4,8.88,8.53,0.35,4.1032,1184966.77,1049673.142
002121.SZ,20220808,8.2,8.68,8.02,8.53,8.23,0.3,3.6452,809570.19,686057.521
002121.SZ,20220805,8.44,8.53,8.05,8.23,8.44,-0.21,-2.4882,754244.0,623213.601
002121.SZ,20220804,8.44,8.55,8.26,8.44,8.4,0.04,0.4762,678690.09,570561.404
002121.SZ,20220803,9.08,9.22,8.3,8.4,8.95,-0.55,-6.1453,1194957.77,1050264.757
002121.SZ,20220802,9.3,9.39,8.7,8.95,9.56,-0.61,-6.3808,1401471.77,1263889.228
002121.SZ,20220801,10.05,10.33,9.37,9.56,10.23,-0.67,-6.5494,1649554.79,1594710.126
002121.SZ,20220729,9.96,10.75,9.96,10.23,9.97,0.26,2.6078,1682038.44,1745815.925
002121.SZ,20220728,10.1,10.4,9.73,9.97,9.78,0.19,1.9427,2004165.94,2016548.934
002121.SZ,20220727,9.11,9.78,8.74,9.78,8.89,0.89,10.0112,1836083.08,1713263.275
002121.SZ,20220726,9.61,9.69,8.73,8.89,9.56,-0.67,-7.0084,1954582.18,1776546.024
002121.SZ,20220725,10.05,10.24,9.38,9.56,10.08,-0.52,-5.1587,1576946.2,1537637.795
002121.SZ,20220722,9.99,10.32,9.39,10.08,9.9,0.18,1.8182,2593044.68,2556914.481
002121.SZ,20220721,9.89,9.9,9.26,9.9,9.0,0.9,10.0,1155489.8,1125416.351
002121.SZ,20220720,9.0,9.0,9.0,9.0,8.18,0.82,10.0244,163707.52,147336.768
002121.SZ,20220719,7.95,8.38,7.78,8.18,7.62,0.56,7.3491,2495482.49,2044333.08
002121.SZ,20220718,7.03,7.62,7.03,7.62,6.93,0.69,9.9567,1602743.44,1206582.516
002121.SZ,20220715,7.11,7.24,6.92,6.93,7.22,-0.29,-4.0166,749303.5,529287.951
002121.SZ,20220714,6.96,7.49,6.91,7.22,7.0,0.22,3.1429,1174457.06,854153.228
002121.SZ,20220713,6.7,7.12,6.6,7.0,6.74,0.26,3.8576,831526.0,577007.416
002121.SZ,20220712,6.7,6.83,6.45,6.74,6.75,-0.01,-0.1481,600476.26,398843.606
002121.SZ,20220711,6.67,6.78,6.51,6.75,6.67,0.08,1.1994,502098.49,334524.237
002121.SZ,20220708,7.15,7.25,6.63,6.67,7.13,-0.46,-6.4516,1102662.09,755954.945
002121.SZ,20220707,6.82,7.22,6.63,7.13,6.88,0.25,3.6337,1103176.67,771246.738
002121.SZ,20220706,7.08,7.09,6.66,6.88,7.03,-0.15,-2.1337,726540.8,499972.386
002121.SZ,20220705,7.04,7.13,6.86,7.03,7.07,-0.04,-0.5658,657637.3,459626.257
002121.SZ,20220704,6.54,7.09,6.51,7.07,6.61,0.46,6.9592,1065684.81,731667.081
002121.SZ,20220701,6.52,6.74,6.41,6.61,6.51,0.1,1.5361,709178.27,466841.116
002121.SZ,20220630,6.7,6.77,6.43,6.51,7.13,-0.62,-8.6957,1398155.44,919753.787
002121.SZ,20220629,7.8,7.8,7.13,7.13,7.92,-0.79,-9.9747,1659818.11,1202151.574
002121.SZ,20220628,7.07,7.92,7.02,7.92,7.2,0.72,10.0,2335609.98,1804970.825
002121.SZ,20220627,6.93,7.43,6.85,7.2,7.0,0.2,2.8571,1423168.55,1013082.801
002121.SZ,20220624,6.73,7.43,6.69,7.0,6.75,0.25,3.7037,1755537.53,1247936.722
002121.SZ,20220623,6.48,6.92,6.35,6.75,6.5,0.25,3.8462,1180944.82,784890.41
002121.SZ,20220622,6.43,6.69,6.37,6.5,6.41,0.09,1.4041,861702.5,562900.366
002121.SZ,20220621,6.88,6.95,6.31,6.41,6.97,-0.56,-8.0344,1359454.73,899605.196
002121.SZ,20220620,6.67,7.04,6.58,6.97,6.65,0.32,4.812,1208944.52,832002.088
002121.SZ,20220617,6.69,6.9,6.59,6.65,6.67,-0.02,-0.2999,1013509.25,683943.993
002121.SZ,20220616,6.5,6.79,6.41,6.67,6.72,-0.05,-0.744,1025341.15,674962.781
002121.SZ,20220615,7.27,7.38,6.72,6.72,7.47,-0.75,-10.0402,1662204.33,1144314.597
002121.SZ,20220614,7.66,7.68,7.19,7.47,7.99,-0.52,-6.5081,2308401.74,1690729.126
002121.SZ,20220613,7.85,8.24,7.59,7.99,7.68,0.31,4.0365,2506492.27,1973430.46
002121.SZ,20220610,7.2,7.81,7.13,7.68,7.1,0.58,8.169,2251852.8,1726299.579
002121.SZ,20220609,7.58,7.65,7.1,7.1,7.69,-0.59,-7.6723,1822778.5,1336646.029
002121.SZ,20220608,7.34,8.21,7.22,7.69,7.46,0.23,3.0831,2656070.18,2035722.087
002121.SZ,20220607,7.4,7.5,6.78,7.46,7.22,0.24,3.3241,2070344.94,1498268.639
002121.SZ,20220606,7.11,7.6,7.0,7.22,7.2,0.02,0.2778,1982816.17,1443011.501
002121.SZ,20220602,7.45,7.68,6.85,7.2,7.45,-0.25,-3.3557,2429982.03,1760990.32
002121.SZ,20220601,6.8,7.45,6.8,7.45,6.77,0.68,10.0443,901083.22,657739.677
002121.SZ,20220531,6.56,7.15,6.15,6.77,6.64,0.13,1.9578,2516194.77,1663757.006
002121.SZ,20220530,6.08,6.64,5.8,6.64,6.04,0.6,9.9338,3003955.1,1870415.08
002121.SZ,20220527,6.04,6.04,6.01,6.04,5.49,0.55,10.0182,1423806.48,859956.189
002121.SZ,20220526,5.49,5.49,5.49,5.49,4.99,0.5,10.02,26178.5,14371.997
002121.SZ,20220525,4.99,4.99,4.99,4.99,4.54,0.45,9.9119,15813.93,7891.151
002121.SZ,20220524,4.54,4.54,4.54,4.54,4.13,0.41,9.9274,11978.26,5438.13
002121.SZ,20220516,4.2,4.4,4.13,4.13,4.04,0.09,2.2277,152256.0,64960.547
002121.SZ,20220513,4.06,4.08,4.0,4.04,4.03,0.01,0.2481,38794.5,15634.995
002121.SZ,20220512,3.97,4.06,3.96,4.03,4.01,0.02,0.4988,44249.5,17782.569
002121.SZ,20220511,4.03,4.12,4.01,4.01,4.02,-0.01,-0.2488,56856.77,23189.258
002121.SZ,20220510,3.96,4.03,3.91,4.02,3.97,0.05,1.2594,37516.03,15006.464
002121.SZ,20220509,3.95,4.03,3.95,3.97,3.96,0.01,0.2525,32047.53,12774.473
002121.SZ,20220506,3.86,3.97,3.84,3.96,3.98,-0.02,-0.5025,33795.45,13271.887
002121.SZ,20220505,3.89,4.02,3.86,3.98,3.9,0.08,2.0513,44465.95,17626.923
002121.SZ,20220429,3.77,3.97,3.77,3.9,3.76,0.14,3.7234,51663.0,20010.53
002121.SZ,20220428,3.8,3.9,3.71,3.76,3.9,-0.14,-3.5897,54323.61,20647.304
002121.SZ,20220427,3.65,3.91,3.46,3.9,3.78,0.12,3.1746,101689.1,38356.304
002121.SZ,20220426,3.84,3.97,3.76,3.78,3.85,-0.07,-1.8182,64131.75,24607.014
002121.SZ,20220425,4.19,4.19,3.85,3.85,4.23,-0.38,-8.9835,81682.33,32799.007
002121.SZ,20220422,4.3,4.3,4.21,4.23,4.31,-0.08,-1.8561,40862.87,17320.837
002121.SZ,20220421,4.44,4.45,4.29,4.31,4.44,-0.13,-2.9279,54997.1,23880.914
002121.SZ,20220420,4.49,4.52,4.43,4.44,4.49,-0.05,-1.1136,35189.0,15741.1
002121.SZ,20220419,4.43,4.51,4.41,4.49,4.42,0.07,1.5837,32216.5,14425.687
002121.SZ,20220418,4.41,4.45,4.35,4.42,4.42,0.0,0.0,25375.0,11184.311
002121.SZ,20220415,4.47,4.47,4.38,4.42,4.48,-0.06,-1.3393,38716.5,17110.268
002121.SZ,20220414,4.47,4.51,4.44,4.48,4.46,0.02,0.4484,38958.0,17417.378
002121.SZ,20220413,4.55,4.55,4.43,4.46,4.53,-0.07,-1.5453,42708.5,19087.646
002121.SZ,20220412,4.49,4.55,4.43,4.53,4.49,0.04,0.8909,43153.5,19391.671
002121.SZ,20220411,4.58,4.62,4.46,4.49,4.6,-0.11,-2.3913,59456.0,27017.643
002121.SZ,20220408,4.63,4.67,4.54,4.6,4.66,-0.06,-1.2876,59627.9,27423.058
002121.SZ,20220407,4.78,4.78,4.65,4.66,4.78,-0.12,-2.5105,69984.5,32822.316
002121.SZ,20220406,4.73,4.78,4.65,4.78,4.72,0.06,1.2712,78671.98,37001.632
002121.SZ,20220401,4.72,4.77,4.68,4.72,4.76,-0.04,-0.8403,72655.0,34280.753
002121.SZ,20220331,4.79,4.89,4.75,4.76,4.84,-0.08,-1.6529,112663.63,54012.522
002121.SZ,20220330,4.84,4.96,4.78,4.84,4.89,-0.05,-1.0225,169354.5,82181.266
002121.SZ,20220329,5.14,5.18,4.84,4.89,5.06,-0.17,-3.3597,384844.73,190502.524
002121.SZ,20220328,4.88,5.06,4.78,5.06,4.6,0.46,10.0,294099.63,147227.09
002121.SZ,20220325,4.66,4.68,4.6,4.6,4.66,-0.06,-1.2876,47799.5,22143.497
002121.SZ,20220324,4.7,4.72,4.64,4.66,4.72,-0.06,-1.2712,50959.12,23785.267
002121.SZ,20220323,4.68,4.77,4.68,4.72,4.68,0.04,0.8547,60316.38,28478.411
002121.SZ,20220322,4.69,4.78,4.61,4.68,4.6,0.08,1.7391,97364.5,45745.371
002121.SZ,20220321,4.57,4.63,4.51,4.6,4.57,0.03,0.6565,44598.0,20466.918
002121.SZ,20220318,4.58,4.6,4.48,4.57,4.54,0.03,0.6608,65604.02,29868.191
002121.SZ,20220317,4.49,4.61,4.49,4.54,4.48,0.06,1.3393,77287.74,35244.867
002121.SZ,20220316,4.5,4.53,4.3,4.48,4.42,0.06,1.3575,97849.02,43294.984
002121.SZ,20220315,4.67,4.67,4.4,4.42,4.7,-0.28,-5.9574,98600.8,44920.403
002121.SZ,20220314,4.66,4.78,4.65,4.7,4.77,-0.07,-1.4675,67177.03,31734.487
002121.SZ,20220311,4.61,4.77,4.58,4.77,4.68,0.09,1.9231,94876.5,44261.33
002121.SZ,20220310,4.72,4.74,4.64,4.68,4.57,0.11,2.407,83183.5,38942.268
002121.SZ,20220309,4.77,4.85,4.39,4.57,4.77,-0.2,-4.1929,154724.5,70716.082
002121.SZ,20220308,4.9,4.91,4.71,4.77,4.91,-0.14,-2.8513,108413.5,52218.085
002121.SZ,20220307,4.94,4.94,4.88,4.91,4.9,0.01,0.2041,67034.93,32905.787
002121.SZ,20220304,5.05,5.06,4.89,4.9,5.04,-0.14,-2.7778,133533.15,66202.014
002121.SZ,20220303,5.18,5.19,5.0,5.04,5.1,-0.06,-1.1765,163577.5,83082.269
002121.SZ,20220302,5.04,5.15,5.0,5.1,5.03,0.07,1.3917,101267.0,51392.088
002121.SZ,20220301,4.95,5.05,4.93,5.03,4.95,0.08,1.6162,75183.35,37724.637
002121.SZ,20220228,4.94,4.96,4.9,4.95,4.96,-0.01,-0.2016,66087.5,32562.903
002121.SZ,20220225,4.97,5.05,4.93,4.96,4.95,0.01,0.202,102836.25,51152.518
002121.SZ,20220224,5.08,5.13,4.9,4.95,5.1,-0.15,-2.9412,201368.01,100909.996
002121.SZ,20220223,5.06,5.14,5.02,5.1,5.11,-0.01,-0.1957,197163.75,100330.746
002121.SZ,20220222,5.17,5.43,5.09,5.11,5.24,-0.13,-2.4809,351311.53,183732.985
002121.SZ,20220221,4.96,5.38,4.94,5.24,4.91,0.33,6.721,293133.88,151355.942
002121.SZ,20220218,4.92,4.93,4.85,4.91,4.94,-0.03,-0.6073,70036.02,34195.823
002121.SZ,20220217,4.85,4.99,4.84,4.94,4.86,0.08,1.6461,83522.09,41208.13
002121.SZ,20220216,4.89,4.95,4.86,4.86,4.9,-0.04,-0.8163,71946.02,35150.744
002121.SZ,20220215,4.89,4.93,4.88,4.9,4.89,0.01,0.2045,47343.5,23195.253
002121.SZ,20220214,4.91,4.95,4.87,4.89,4.92,-0.03,-0.6098,41240.27,20239.239
002121.SZ,20220211,5.03,5.04,4.91,4.92,5.03,-0.11,-2.1869,74328.04,36837.601
002121.SZ,20220210,5.05,5.08,5.01,5.03,5.08,-0.05,-0.9843,61996.11,31233.703
002121.SZ,20220209,5.11,5.14,5.04,5.08,5.06,0.02,0.3953,67321.09,34119.298
002121.SZ,20220208,4.96,5.13,4.92,5.06,4.97,0.09,1.8109,76867.8,38712.393
002121.SZ,20220207,4.97,5.04,4.83,4.97,4.97,0.0,0.0,56776.5,28021.702
002121.SZ,20220128,4.99,5.0,4.82,4.97,4.96,0.01,0.2016,52524.0,25891.535
002121.SZ,20220127,5.02,5.06,4.95,4.96,4.98,-0.02,-0.4016,51307.37,25575.246
002121.SZ,20220126,4.99,5.02,4.95,4.98,4.95,0.03,0.6061,52764.0,26271.416
002121.SZ,20220125,5.02,5.09,4.94,4.95,5.09,-0.14,-2.7505,80111.5,40052.734
002121.SZ,20220124,5.12,5.14,5.07,5.09,5.07,0.02,0.3945,51883.5,26464.458
002121.SZ,20220121,5.04,5.16,5.0,5.07,5.04,0.03,0.5952,81162.5,41374.302
002121.SZ,20220120,5.17,5.18,5.03,5.04,5.15,-0.11,-2.1359,82983.02,42123.585
002121.SZ,20220119,5.2,5.26,5.1,5.15,5.23,-0.08,-1.5296,96635.5,49894.194
002121.SZ,20220118,5.28,5.32,5.23,5.23,5.27,-0.04,-0.759,86009.0,45332.101
002121.SZ,20220117,5.21,5.3,5.21,5.27,5.24,0.03,0.5725,71247.0,37469.801
002121.SZ,20220114,5.26,5.29,5.21,5.24,5.26,-0.02,-0.3802,65203.4,34242.953
002121.SZ,20220113,5.29,5.31,5.25,5.26,5.32,-0.06,-1.1278,61245.7,32285.935
002121.SZ,20220112,5.21,5.32,5.21,5.32,5.23,0.09,1.7208,73223.6,38702.91
002121.SZ,20220111,5.3,5.31,5.23,5.23,5.3,-0.07,-1.3208,77986.78,40969.669
002121.SZ,20220110,5.3,5.33,5.2,5.3,5.29,0.01,0.189,88378.22,46621.627
002121.SZ,20220107,5.47,5.47,5.26,5.29,5.46,-0.17,-3.1136,199497.85,106800.628
002121.SZ,20220106,5.45,5.5,5.41,5.46,5.46,0.0,0.0,129363.75,70592.441
002121.SZ,20220105,5.52,5.59,5.43,5.46,5.58,-0.12,-2.1505,266378.25,146369.284
002121.SZ,20220104,5.67,5.7,5.51,5.58,5.85,-0.27,-4.6154,476654.36,266594.691
002121.SZ,20211231,5.7,6.25,5.68,5.85,5.68,0.17,2.993,905586.7,536817.259
002121.SZ,20211230,5.68,5.68,5.68,5.68,5.16,0.52,10.0775,159248.09,90452.915
